2018-09-20 18:16:51.591 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyResourcePermissions#_verifyResourcedModel#MDRRuleGroupInstance
2018-09-20 18:16:51.593 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyResourcePermissions#_verifyResourcedModel#MDRRuleGroupInstance in 2 ms
2018-09-20 18:16:51.595 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyResourcePermissions#_verifyResourcedModel#MDRRuleGroup
2018-09-20 18:16:51.596 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyResourcePermissions#_verifyResourcedModel#MDRRuleGroup in 1 ms
2018-09-20 18:16:51.597 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.mobile.device.rules.internal.verify.MDRServiceVerifyProcess in 10ms
2018-09-20 18:16:58.955 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:43] Copying themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181658926WGSIMWYG/admin-theme.war
2018-09-20 18:16:59.037 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseDeployer:877] Deploying admin-theme.war
2018-09-20 18:17:01.599 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:50] Themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181658926WGSIMWYG/admin-theme.war copied successfully
2018-09-20 18:17:02.617 INFO  [main][VerifyProcess:66] Verifying com.liferay.blogs.internal.verify.VerifyBlogsTrackbacks
2018-09-20 18:17:02.618 INFO  [main][LoggingTimer:83] Starting com.liferay.blogs.internal.verify.VerifyBlogsTrackbacks#verifyMBDiscussions
2018-09-20 18:17:02.623 INFO  [main][LoggingTimer:43] Completed com.liferay.blogs.internal.verify.VerifyBlogsTrackbacks#verifyMBDiscussions in 5 ms
2018-09-20 18:17:02.623 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.blogs.internal.verify.VerifyBlogsTrackbacks in 6ms
2018-09-20 18:17:04.341 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:43] Copying themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181704321QNRZDDVY/fjord-theme.war
2018-09-20 18:17:04.401 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseDeployer:877] Deploying fjord-theme.war
2018-09-20 18:17:06.871 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:50] Themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181704321QNRZDDVY/fjord-theme.war copied successfully
2018-09-20 18:17:09.304 INFO  [main][VerifyProcess:66] Verifying com.liferay.dynamic.data.mapping.verify.DDMServiceVerifyProcess
2018-09-20 18:17:09.306 INFO  [main][LoggingTimer:83] Starting com.liferay.dynamic.data.mapping.verify.DDMServiceVerifyProcess#verifyStructures
2018-09-20 18:17:09.406 INFO  [main][LoggingTimer:43] Completed com.liferay.dynamic.data.mapping.verify.DDMServiceVerifyProcess#verifyStructures in 100 ms
